Overall Qual,Year Built,Total Bsmt SF,Gr Liv Area,Garage Area
6.0,1978.0,1008.0,1096.0,484.0
6.0,1917.0,624.0,1288.0,280.0
5.0,1914.0,747.0,1784.0,180.0
8.0,2006.0,1324.0,1324.0,550.0
6.0,1956.0,1073.0,1811.0,470.0
6.0,1948.0,912.0,1458.0,330.0
8.0,2006.0,1685.0,1685.0,658.0
5.0,1957.0,1617.0,1797.0,463.4402493938345
6.0,1988.0,1461.0,1509.0,600.0
5.0,1968.0,732.0,1464.0,470.0
4.0,1947.0,756.0,1531.0,209.0
6.0,1926.0,818.0,1224.0,210.0
7.0,1980.0,738.0,2044.0,489.0
5.0,1948.0,928.0,1920.0,400.0
6.0,2000.0,756.0,1573.0,440.0
7.0,2008.0,1336.0,1346.0,660.0
7.0,2002.0,1569.0,1611.0,463.4402493938345
6.0,1916.0,816.0,1232.0,440.0
6.0,1958.0,951.0,951.0,480.0
5.0,1934.0,585.0,1112.0,226.0
5.0,1976.0,894.0,894.0,308.0
8.0,2004.0,1052.0,2373.0,632.0
5.0,1930.0,520.0,912.0,360.0
5.0,1980.0,936.0,936.0,672.0
5.0,1955.0,384.0,1360.0,572.0
5.0,1948.0,1027.0,1633.0,240.0
8.0,2006.0,1546.0,1564.0,502.0
6.0,1968.0,976.0,976.0,504.0
5.0,1967.0,894.0,894.0,450.0
7.0,2004.0,788.0,1490.0,388.0
5.0,1930.0,966.0,1426.0,230.0
7.0,2003.0,782.0,1489.0,400.0
7.0,2009.0,846.0,1692.0,650.0
7.0,1971.0,1696.0,1696.0,625.0
6.0,1976.0,855.0,1456.0,460.0
6.0,1926.0,686.0,1461.0,225.0
6.0,1977.0,675.0,1388.0,317.0
5.0,1975.0,924.0,924.0,280.0
6.0,1974.0,1040.0,1309.0,484.0
6.0,1940.0,983.0,1750.0,423.0
8.0,2007.0,1705.0,1718.0,826.0
7.0,2006.0,1461.0,1486.0,566.0
7.0,2007.0,874.0,1761.0,578.0
6.0,1935.0,901.0,1378.0,162.0
6.0,1977.0,975.0,1004.0,504.0
7.0,1996.0,880.0,1716.0,512.0
7.0,1993.0,1050.0,1949.0,574.0
5.0,1900.0,861.0,1367.0,384.0
5.0,1935.0,1024.0,1738.0,240.0
6.0,1923.0,1065.0,1635.0,440.0
4.0,1956.0,882.0,882.0,0.0
9.0,2006.0,1746.0,1746.0,758.0
5.0,1954.0,1112.0,1112.0,390.0
6.0,1976.0,804.0,1548.0,440.0
6.0,1960.0,1560.0,1560.0,580.0
5.0,1916.0,660.0,1656.0,180.0
5.0,1954.0,833.0,833.0,326.0
6.0,1964.0,1248.0,1350.0,520.0
6.0,1941.0,806.0,1578.0,240.0
6.0,1968.0,708.0,1416.0,776.0
7.0,2004.0,1235.0,1245.0,495.0
6.0,1971.0,1587.0,1587.0,525.0
6.0,1988.0,1392.0,1412.0,576.0
5.0,1994.0,1097.0,1097.0,672.0
7.0,2003.0,1760.0,1760.0,583.0
6.0,1967.0,1680.0,1691.0,550.0
6.0,1975.0,976.0,1012.0,0.0
4.0,1970.0,546.0,1092.0,286.0
4.0,1895.0,173.0,1361.0,185.0
3.0,1935.0,270.0,729.0,0.0
7.0,2004.0,1436.0,1436.0,484.0
5.0,1965.0,984.0,984.0,310.0
6.0,1980.0,626.0,1217.0,288.0
7.0,1998.0,723.0,767.0,367.0
6.0,1978.0,888.0,912.0,470.0
8.0,2003.0,1978.0,1978.0,850.0
5.0,1954.0,988.0,988.0,520.0
8.0,2007.0,895.0,1818.0,774.0
7.0,1998.0,384.0,1382.0,396.0
7.0,1940.0,1032.0,2403.0,349.0
6.0,1980.0,516.0,1032.0,452.0
5.0,1940.0,996.0,996.0,0.0
6.0,1937.0,780.0,1375.0,544.0
6.0,1978.0,1032.0,1032.0,564.0
8.0,2005.0,1158.0,2376.0,853.0
7.0,2000.0,384.0,1430.0,400.0
6.0,1995.0,1077.0,1458.492119089317,614.0
5.0,1977.0,1040.0,1040.0,748.0
5.0,1965.0,864.0,864.0,360.0
6.0,1953.0,1040.0,1040.0,293.0
7.0,1977.0,1420.0,1483.0,690.0
7.0,1996.0,691.0,1553.0,420.0
6.101845522898154,1922.0,683.0,904.0,0.0
5.0,1940.0,1580.0,1518.0,0.0
6.0,1995.0,773.0,1658.0,431.0
4.0,1953.0,911.0,930.0,286.0
4.0,1954.0,967.0,1350.0,504.0
8.0,1978.0,1226.0,1226.0,484.0
4.0,1920.0,861.0,861.0,288.0
9.0,2006.0,1652.0,1652.0,840.0
8.0,2008.0,1566.0,1566.0,750.0
6.0,1939.0,780.0,1412.0,280.0
7.0,1999.0,1431.0,1431.0,666.0
7.0,1980.0,430.0,1700.0,450.0
8.0,2001.0,1753.0,1787.0,748.0
6.0,1968.0,1740.0,1740.0,512.0
6.0,1995.0,781.0,1499.0,473.0
6.0,1950.0,856.0,1668.0,271.0
7.0,2002.0,1573.0,1573.0,544.0
8.0,2003.0,1053.0,1992.0,648.0
6.0,1958.0,588.0,1095.0,264.0
5.0,1941.0,720.0,1298.0,256.0
6.0,2005.0,1175.0,1175.0,0.0
4.0,1970.0,546.0,1092.0,286.0
5.0,1972.0,864.0,864.0,338.0
5.0,1955.0,1216.0,1216.0,336.0
8.0,2007.0,1419.0,1419.0,567.0
6.0,1976.0,1029.0,1117.0,672.0
8.0,1998.0,1389.0,2582.0,758.0
5.0,1955.0,1617.0,1867.0,303.0
9.0,2006.0,1905.0,1905.0,788.0
5.0,1920.0,691.0,691.0,216.0
5.0,1948.0,810.0,1456.0,280.0
8.0,2001.0,1267.0,1296.0,471.0
7.0,1974.0,1165.0,2061.0,498.0
6.0,2005.0,704.0,1422.0,440.0
5.0,1984.0,1038.0,1038.0,264.0
3.0,1920.0,798.0,840.0,250.0
9.0,2006.0,1504.0,1531.0,700.0
8.0,2008.0,1614.0,1658.0,726.0
6.0,1992.0,1055.0,1845.0,462.0
8.0,2007.0,896.0,1792.0,590.0
5.0,1953.0,1057.902708481825,1210.0,616.0
8.0,2006.0,1372.0,1448.0,692.0
2.0,1949.0,480.0,480.0,308.0
7.0,1988.0,1157.0,2062.0,454.0
8.0,2005.0,1721.0,1721.0,554.0
7.0,1928.0,861.0,1477.0,216.0
6.0,1974.0,970.0,1026.0,528.0
4.0,1923.0,949.0,1292.0,205.0
4.0,1920.0,592.0,864.0,216.0
5.0,1956.0,1169.0,1144.0,286.0
8.0,1995.0,1230.0,1239.0,477.0
7.0,1996.0,672.0,2037.0,472.0
7.0,2007.0,1232.0,1232.0,632.0
7.0,2007.0,1314.0,1314.0,626.0
5.0,1977.0,894.0,894.0,308.0
5.0,1956.0,1509.0,1509.0,322.0
8.0,1993.0,1338.0,2520.0,796.0
6.0,1915.0,698.0,1396.0,384.0
9.0,2008.0,1739.0,1743.0,927.0
5.0,1958.0,1158.0,1176.0,303.0
6.0,1932.0,854.0,1991.0,432.0
6.0,1966.0,1093.0,1093.0,484.0
5.0,1960.0,1175.0,1175.0,484.0
9.0,1999.0,1393.0,2599.0,779.0
5.0,1959.0,1041.0,1041.0,270.0
7.0,2004.0,1221.0,1221.0,400.0
5.0,1969.0,784.0,1968.0,530.0
8.0,2006.0,1370.0,1370.0,484.0
7.0,1998.0,935.0,1632.0,462.0
5.0,1960.0,1269.0,1269.0,308.0
6.0,1945.0,770.0,1182.0,378.0
9.0,2005.0,1752.0,1752.0,576.0
8.0,1971.64190345772,916.0,1742.0,424.0
8.0,1998.0,1470.0,2630.0,696.0
7.0,2004.0,551.0,1102.0,480.0
4.0,1910.0,560.0,1346.0,384.0
6.0,2005.0,728.0,1456.0,400.0
7.0,1960.0,1329.0,1329.0,441.0
9.0,2008.0,1057.902708481825,2276.0,463.4402493938345
7.0,2003.0,979.0,1932.0,610.0
7.0,1993.0,996.0,2000.0,650.0
6.0,1965.0,1136.0,1136.0,384.0
5.0,1968.0,1056.0,1056.0,304.0
5.0,1977.0,1057.902708481825,1734.0,539.0
5.0,1963.0,1120.0,1128.0,525.0
5.0,1968.0,1196.0,1196.0,336.0
7.0,2005.0,1274.0,1274.0,508.0
5.0,1977.0,1268.0,1268.0,252.0
4.0,1920.0,951.0,1362.0,280.0
6.0,1994.0,702.0,1481.0,343.0
7.0,2007.0,813.0,1665.0,562.0
7.0,2001.0,1257.0,2161.0,570.0
8.0,2007.0,920.0,1780.0,612.0
5.0,1960.0,1556.0,1556.0,0.0
6.0,2006.0,738.0,1495.0,440.0
7.0,2006.0,1258.0,1402.0,648.0
6.0,1958.0,1261.0,1261.0,433.0
5.0,1961.0,1235.0,1235.0,480.0
7.0,1994.0,423.0,1652.0,473.0
7.0,2006.0,1578.0,1578.0,642.0
6.0,2009.0,1212.0,1212.0,460.0
7.0,2005.0,600.0,1200.0,480.0
7.0,1973.0,1107.0,2090.0,484.0
5.0,1900.0,760.0,2168.0,576.0
7.0,1997.0,569.0,1694.0,434.0
7.0,1976.0,1055.0,1055.0,319.0
5.0,2006.0,352.0,1442.0,400.0
8.0,2000.0,1501.0,1659.0,499.0
6.0,1925.0,1103.0,1103.0,440.0
6.0,1993.0,832.0,1710.0,506.0
8.0,2004.0,1057.902708481825,2522.0,564.0
7.0,1987.0,1645.0,1479.0,578.0
8.0,2006.0,1520.0,1567.0,648.0
5.0,1957.0,1176.0,1176.0,292.0
5.0,1920.0,596.0,1192.0,189.0
6.0,1977.0,1057.902708481825,1654.0,528.0
4.0,1900.0,405.0,1039.0,281.0
7.0,1990.0,1216.0,2514.0,693.0
6.0,1972.0,483.0,987.0,288.0
6.0,2004.0,970.0,1709.0,380.0
9.0,2006.0,1686.0,1686.0,899.0
5.0,2004.0,1114.0,1114.0,576.0
8.0,2004.0,1143.0,2473.0,852.0
6.0,1920.0,1510.0,1458.492119089317,520.0
5.0,1983.0,816.0,816.0,264.0
4.0,1970.0,864.0,864.0,280.0
7.0,2003.0,1176.0,1200.0,555.0
5.0,2007.0,1092.0,1092.0,0.0
7.0,1998.0,930.0,1886.0,431.0
8.0,2005.0,1074.0,2064.0,527.0
4.0,1972.0,864.0,864.0,576.0
6.0,2005.0,547.0,1072.0,525.0
3.0,1955.0,1057.902708481825,1733.0,452.0
5.0,1962.0,925.0,999.0,300.0
5.0,1957.0,922.0,922.0,308.0
6.0,1956.0,1436.0,1689.0,480.0
7.0,2004.0,840.0,1720.0,440.0
7.0,2006.0,868.0,2021.0,422.0
6.0,1958.0,1632.0,1650.0,518.0
5.0,1947.0,720.0,1284.0,240.0
7.0,1993.0,740.0,1775.0,425.0
6.0,1997.0,824.0,1786.0,684.0
5.0,1975.0,1076.0,1076.0,576.0
5.0,1964.0,1152.0,1152.0,484.0
5.0,1956.0,1057.902708481825,1014.0,267.0
6.0,2005.0,1362.0,1362.0,460.0
6.0,1971.0,1625.0,1220.0,944.0
6.0,1953.0,1416.0,1644.0,418.0
6.0,1972.0,483.0,987.0,264.0
7.0,2005.0,1248.0,1248.0,438.0
5.0,1969.0,1188.0,1404.0,504.0
5.0,1957.0,1484.0,1600.0,319.0
8.0,1998.0,1284.0,2450.0,463.4402493938345
10.0,2006.0,1057.902708481825,2076.0,850.0
5.0,1999.0,1344.0,1344.0,686.0
6.0,1974.0,1434.0,1434.0,528.0
5.0,1949.0,1001.0,2002.0,871.0
5.0,1968.0,1437.0,1473.0,452.0
6.0,1997.0,813.0,1525.0,400.0
8.0,1989.0,1191.0,1191.0,531.0
7.0,2004.0,1375.0,1414.0,398.0
6.0,1971.64190345772,1008.0,2210.0,205.0
5.0,2006.0,1125.0,1125.0,430.0
8.0,2004.0,1594.0,1646.0,482.0
6.0,1957.0,2035.0,2515.0,484.0
4.0,1964.0,1200.0,1200.0,850.0
5.0,1967.0,912.0,912.0,336.0
8.0,1935.0,608.0,1873.0,786.0
6.0,1950.0,1092.0,1152.0,300.0
8.0,2003.0,1082.0,2400.0,730.0
5.0,1930.0,1078.0,1573.0,360.0
5.0,1940.0,644.0,1355.0,0.0
6.0,1961.0,1362.0,1362.0,504.0
5.0,1961.0,1109.0,1155.0,576.0
8.0,2006.0,1504.0,1504.0,510.0
5.0,1962.0,1092.0,1092.0,288.0
5.0,1994.0,990.0,990.0,480.0
5.0,1950.0,1113.0,1113.0,264.0
7.0,2007.0,1146.0,1246.0,428.0
7.0,1997.0,1040.0,2098.0,621.0
10.0,1998.0,970.0,2393.0,846.0
4.0,1967.0,1057.902708481825,2650.0,0.0
4.0,1955.0,1440.0,1440.0,0.0
8.0,2007.0,1734.0,1734.0,928.0
6.0,1972.0,483.0,987.0,352.0
6.0,1978.0,855.0,1456.0,440.0
7.0,2005.0,1220.0,1220.0,397.0
5.0,1958.0,1584.0,1776.0,888.0
7.0,2003.0,1453.0,1479.0,558.0
4.0,1970.0,546.0,1092.0,286.0
6.0,1980.0,716.0,1556.0,452.0
7.0,2006.0,654.0,1496.0,426.0
5.0,1924.0,784.0,1221.0,392.0
3.0,1958.0,792.0,792.0,366.0
5.0,1946.0,1598.0,1458.492119089317,0.0
6.0,1956.0,1008.0,1024.0,313.0
6.0,1964.0,1092.0,1092.0,504.0
9.0,2008.0,1720.0,1720.0,846.0
8.0,1972.0,1952.0,1458.492119089317,538.0
4.0,1941.0,693.0,693.0,0.0
6.0,1976.0,1728.0,1728.0,574.0
7.0,1920.0,624.0,1450.0,288.0
5.0,1930.0,672.0,840.0,0.0
6.0,1975.0,1008.0,1096.0,352.0
5.0,1924.0,872.0,872.0,322.0
7.0,1988.0,1907.0,1959.0,766.0
5.0,1976.0,264.0,1304.0,336.0
6.0,1997.0,802.0,1511.0,413.0
4.0,1951.0,864.0,864.0,400.0
5.0,1955.0,960.0,960.0,330.0
5.0,1953.0,608.0,1319.0,270.0
6.0,1973.0,525.0,1092.0,264.0
5.0,1965.0,1625.0,1625.0,484.0
6.0,1939.0,972.0,1577.0,312.0
5.0,1959.0,1057.902708481825,882.0,294.0
7.0,2000.0,992.0,1865.0,839.0
7.0,2006.0,1356.0,1500.0,648.0
6.0,2005.0,768.0,1536.0,400.0
5.0,1948.0,1057.902708481825,2320.0,672.0
6.0,1915.0,483.0,1427.0,379.0
6.0,2001.0,804.0,1961.0,560.0
5.0,1945.0,1057.902708481825,808.0,164.0
5.0,1937.0,942.0,1938.0,240.0
6.0,1914.0,684.0,1355.0,0.0
5.0,1958.0,1041.0,1041.0,294.0
6.0,1924.0,1032.0,1032.0,280.0
5.0,1913.0,440.0,694.0,352.0
6.0,1970.0,1008.0,2411.0,570.0
5.0,1955.0,923.0,925.0,390.0
5.0,1957.0,1392.0,1392.0,528.0
6.0,1959.0,864.0,864.0,300.0
6.0,1992.0,808.0,1593.0,389.0
5.0,1982.0,845.0,845.0,264.0
6.0,1921.0,629.0,1107.0,625.0
7.0,2006.0,1145.0,1145.0,437.0
5.0,1959.0,1150.0,1150.0,300.0
4.0,1948.0,624.0,936.0,265.0
6.0,2007.0,768.0,1496.0,572.0
6.0,1960.0,1080.0,1656.0,528.0
7.0,1999.0,672.0,1404.0,462.0
4.0,1925.0,432.0,672.0,0.0
6.0,1997.0,945.0,1608.0,470.0
7.0,1998.0,1463.0,1463.0,539.0
5.0,1962.0,931.0,1283.0,506.0
7.0,2006.0,1689.0,1689.0,433.0
7.0,2003.0,847.0,1733.0,433.0
6.0,1956.0,1196.0,1196.0,297.0
5.0,1945.0,793.0,793.0,240.0
5.0,1957.0,1179.0,1364.0,331.0
5.0,1926.0,756.0,1281.0,379.0
5.0,1930.0,741.0,1324.0,180.0
7.0,1998.0,853.0,1753.0,534.0
5.0,1968.0,1008.0,1008.0,384.0
7.0,1978.0,1420.0,1458.492119089317,463.4402493938345
10.0,2008.0,1057.902708481825,1458.492119089317,463.4402493938345
7.0,1998.0,1066.0,2385.0,600.0
4.0,1955.0,864.0,864.0,528.0
7.0,1922.0,1108.0,2068.0,315.0
8.0,1983.0,1496.0,2132.0,612.0
3.0,1915.0,840.0,1605.0,379.0
5.0,1965.0,894.0,894.0,336.0
5.0,1955.0,1056.0,1056.0,300.0
5.0,1926.0,850.0,960.0,576.0
7.0,2005.0,1700.0,2212.0,773.0
8.0,1998.0,1418.0,1478.0,495.0
6.0,1967.0,1040.0,1040.0,480.0
7.0,1936.0,1017.0,2057.0,180.0
6.0,1949.0,782.0,1556.0,470.0
6.0,1993.0,1152.0,1797.0,616.0
8.0,1992.0,1280.0,1280.0,506.0
8.0,2006.0,1342.0,1342.0,550.0
9.0,2007.0,1698.0,1698.0,768.0
5.0,1925.0,901.0,1351.0,576.0
2.0,1910.0,1057.902708481825,810.0,280.0
4.0,1927.0,520.0,520.0,240.0
4.0,1896.0,756.0,952.0,330.0
5.0,1979.0,1057.902708481825,2240.0,528.0
5.0,1955.0,1382.0,1382.0,350.0
7.0,2003.0,926.0,1884.0,581.0
6.0,2005.0,783.0,1484.0,393.0
6.0,2006.0,1262.0,1262.0,572.0
6.0,1978.0,672.0,1400.0,440.0
7.0,1973.0,1242.0,1242.0,528.0
9.0,2007.0,1950.0,1950.0,706.0
5.0,1929.0,926.0,1316.0,484.0
8.0,2008.0,2042.0,2042.0,463.4402493938345
8.0,1999.0,1252.0,2365.0,856.0
8.0,1900.0,930.0,1566.0,288.0
5.0,1920.0,624.0,1248.0,0.0
5.0,1925.0,747.0,1159.0,288.0
5.0,1915.0,686.0,1652.0,416.0
8.0,2007.0,1710.0,1710.0,866.0
5.0,1955.0,768.0,1588.0,480.0
5.0,1967.0,943.0,1387.0,300.0
5.0,1975.0,938.0,938.0,308.0
5.0,1965.0,1024.0,1024.0,308.0
5.0,1979.0,1057.902708481825,1535.0,400.0
5.0,1963.0,984.0,984.0,384.0
6.0,1923.0,833.0,1848.0,370.0
6.0,1980.0,1686.0,1686.0,612.0
5.0,1974.0,1389.0,1389.0,418.0
5.0,1965.0,1057.902708481825,1664.0,0.0
7.0,1999.0,384.0,1430.0,400.0
5.0,1962.0,894.0,894.0,308.0
5.0,1955.0,1098.0,1098.0,260.0
9.0,2005.0,1684.0,1684.0,564.0
7.0,2002.0,860.0,1729.0,542.0
4.0,1949.0,1057.902708481825,1382.0,384.0
6.0,1963.0,1328.0,1328.0,528.0
5.0,1973.0,765.0,1365.0,440.0
5.0,1957.0,1824.0,1824.0,484.0
4.0,2003.0,1121.0,1121.0,440.0
5.0,1972.0,864.0,864.0,288.0
5.0,1967.0,949.0,1107.0,308.0
10.0,1996.0,1057.902708481825,1458.492119089317,813.0
7.0,2005.0,1392.0,2462.0,576.0
5.0,1968.0,1113.0,1160.0,257.0
8.0,1992.0,1683.0,1458.492119089317,541.0
4.0,1920.0,698.0,1128.0,528.0
7.0,2007.0,1246.0,1258.0,462.0
6.0,1960.0,1179.0,1179.0,622.0
8.0,2006.0,1476.0,1484.0,472.0
8.0,1981.0,1226.0,1226.0,484.0
9.0,1998.0,1408.0,1458.492119089317,806.0
6.0,2000.0,756.0,1524.0,440.0
5.0,1951.0,1057.902708481825,2136.0,528.0
6.0,1940.0,981.0,1672.0,240.0
5.0,1900.0,662.0,2337.0,560.0
7.0,1963.0,725.0,1651.0,276.0
5.0,1939.0,720.0,2192.0,240.0
6.0,2004.0,848.0,848.0,420.0
4.0,1920.0,715.0,1738.0,368.0
5.0,1974.0,896.0,1792.0,480.0
6.0,1915.0,806.0,1647.0,216.0
8.0,1995.0,1220.0,2090.0,556.0
7.0,1959.0,1501.0,1801.0,484.0
5.0,1960.0,1075.0,1507.0,404.0
4.0,1965.0,648.0,960.0,364.0
8.0,1995.0,2033.0,1458.492119089317,666.0
6.0,2006.0,1330.0,1330.0,437.0
6.0,1976.0,1041.0,1125.0,352.0
8.0,2007.0,1485.0,1464.0,754.0
7.0,2002.0,854.0,1995.0,435.0
4.0,1927.0,660.0,756.0,440.0
8.0,1993.0,1173.0,2232.0,623.0
5.0,1901.0,969.0,1214.0,216.0
5.0,1959.0,1256.0,1256.0,311.0
6.0,1952.0,768.0,1536.0,308.0
5.0,1960.0,988.0,1721.0,626.0
6.0,1998.0,932.0,1633.0,460.0
5.0,1994.0,990.0,990.0,440.0
8.0,2002.0,1777.0,1795.0,534.0
7.0,1978.0,832.0,2050.0,529.0
8.0,1997.0,1396.0,2392.0,870.0
5.0,1968.0,876.0,897.0,264.0
9.0,2006.0,1790.0,1816.0,730.0
9.0,2005.0,1704.0,1458.492119089317,814.0
6.0,1926.0,1149.0,1616.0,216.0
7.0,1915.0,672.0,1944.0,216.0
7.0,2009.0,1470.0,1478.0,484.0
5.0,1977.0,1361.0,2620.0,600.0
9.0,2000.0,1440.0,2153.0,736.0
6.0,1935.0,583.0,1242.0,180.0
6.0,1957.0,1392.0,1392.0,458.0
7.0,2003.0,912.0,2094.0,615.0
5.0,1956.0,1202.0,1202.0,304.0
8.0,1890.0,346.0,2268.0,624.0
3.0,1955.0,1162.0,1163.0,220.0
2.0,1920.0,723.0,1086.0,400.0
6.0,1954.0,1310.0,1906.0,576.0
5.0,1948.0,789.0,789.0,250.0
6.0,1920.0,1012.0,1012.0,308.0
6.0,1917.0,735.0,2058.0,396.0
5.0,1956.0,894.0,1074.0,396.0
5.0,1964.0,1292.0,1292.0,520.0
6.0,2003.0,848.0,848.0,420.0
5.0,1958.0,988.0,988.0,264.0
6.0,1964.0,1425.0,1425.0,576.0
6.0,1984.0,1105.0,1822.0,515.0
5.0,1930.0,297.0,1654.0,336.0
8.0,2005.0,1030.0,2098.0,878.0
5.0,1955.0,816.0,1393.0,300.0
10.0,1892.0,1107.0,1458.492119089317,840.0
6.0,1970.0,1004.0,1004.0,480.0
6.0,1977.0,1096.0,1118.0,358.0
6.0,1980.0,1056.0,1056.0,576.0
5.0,1972.0,768.0,768.0,396.0
6.0,1920.0,684.0,1196.0,528.0
6.0,1910.0,1242.0,1984.0,360.0
5.0,1958.0,1008.0,1053.0,750.0
8.0,2003.0,1057.902708481825,1629.0,880.0
6.0,1969.0,1844.0,1844.0,540.0
7.0,1969.0,1851.0,1851.0,506.0
5.0,1921.0,876.0,964.0,432.0
9.0,2005.0,1838.0,1838.0,682.0
4.0,1964.0,1005.0,1005.0,440.0
7.0,2003.0,1560.0,1560.0,573.0
6.0,1990.0,1332.0,1332.0,542.0
8.0,2006.0,1141.0,1151.0,484.0
4.0,1920.0,528.0,605.0,0.0
5.0,1952.0,540.0,1044.0,504.0
3.0,1914.0,864.0,864.0,200.0
6.0,1910.0,972.0,1944.0,324.0
8.0,2004.0,1594.0,1646.0,525.0
8.0,2006.0,1638.0,1646.0,870.0
6.0,1915.0,1048.0,1768.0,576.0
8.0,1999.0,1004.0,1852.0,660.0
6.0,1940.0,778.0,1489.0,240.0
7.0,1950.0,976.0,1952.0,299.0
6.0,1993.0,1160.0,1169.0,402.0
4.0,1956.0,952.0,952.0,283.0
8.0,2000.0,1406.0,1936.0,504.0
5.0,1960.0,1057.902708481825,1771.0,336.0
7.0,1990.0,1300.0,1341.0,506.0
7.0,1997.0,1057.0,2034.0,645.0
5.0,1979.0,1086.0,1224.0,528.0
7.0,2009.0,900.0,1852.0,644.0
5.0,1975.0,1056.0,1074.0,495.0
6.0,1976.0,804.0,1548.0,440.0
7.0,2005.0,1614.0,1614.0,865.0
7.0,1918.0,912.0,1426.0,216.0
5.0,1961.0,1144.0,1144.0,456.0
5.0,1961.0,864.0,864.0,420.0
5.0,1968.0,912.0,1044.0,372.0
6.0,1995.0,1200.0,1200.0,521.0
5.0,1976.0,780.0,1868.0,484.0
5.0,1967.0,1632.0,1632.0,576.0
5.0,1974.0,864.0,894.0,440.0
2.0,1946.0,407.0,407.0,297.0
4.0,1959.0,1057.902708481825,1588.0,680.0
4.0,1950.0,721.0,841.0,294.0
5.0,1966.0,864.0,892.0,416.0
7.0,1999.0,1037.0,2322.0,400.0
5.0,1968.0,833.0,898.0,326.0
8.0,1995.0,1595.0,1616.0,608.0
5.0,1954.0,1383.0,1383.0,354.0
7.0,2009.0,1214.0,1214.0,520.0
9.0,2009.0,1365.0,1458.492119089317,864.0
6.0,1927.0,728.0,1642.0,374.0
8.0,2000.0,975.0,1848.0,592.0
6.0,1973.0,672.0,1218.0,264.0
6.0,1931.0,884.0,1367.0,560.0
5.0,1967.0,1510.0,1510.0,517.0
6.0,1996.0,821.0,1776.0,443.0
7.0,1995.0,930.0,1995.0,610.0
7.0,2006.0,982.0,1977.0,574.0
5.0,1967.0,1141.0,1141.0,568.0
5.0,1948.0,780.0,1323.0,400.0
6.0,1972.0,1161.0,1381.0,676.0
7.0,1890.0,1313.0,2495.0,342.0
7.0,2005.0,891.0,1686.0,462.0
7.0,1990.0,910.0,1442.0,719.0
5.0,1942.0,799.0,1150.0,215.0
5.0,1951.0,660.0,1396.0,0.0
4.0,1910.0,356.0,1049.0,195.0
6.0,1972.0,732.0,1790.0,484.0
5.0,1957.0,992.0,1306.0,756.0
5.0,1966.0,793.0,1280.0,432.0
9.0,2005.0,1868.0,1868.0,463.4402493938345
7.0,1998.0,1650.0,1680.0,583.0
5.0,1977.0,923.0,1008.0,678.0
6.0,1977.0,690.0,1426.0,440.0
4.0,1912.0,795.0,2230.0,440.0
7.0,1925.0,1026.0,1820.0,240.0
7.0,2004.0,847.0,1959.0,434.0
4.0,1907.0,707.0,1884.0,0.0
8.0,2002.0,1616.0,1629.0,808.0
8.0,1976.0,1565.0,1458.492119089317,665.0
6.0,1983.0,520.0,1338.0,576.0
7.0,2003.0,1374.0,1557.0,420.0
4.0,1927.0,656.0,968.0,216.0
4.0,1995.0,1680.0,1680.0,628.0
4.0,1900.0,448.0,720.0,280.0
4.0,1950.0,576.0,864.0,528.0
3.0,1945.0,1057.902708481825,640.0,240.0
6.0,2005.0,1468.0,1468.0,528.0
6.0,2002.0,783.0,1509.0,393.0
